Algoritmo,V,E,Densidade,TempoMedio_us,ArestasRemovidas
DFS_Lista,10,20,Esparsa,1.79527,X
Warshall_Matriz,10,20,Esparsa,1.52357,X
TopSort_Lista,10,20,Esparsa,1.441,X
DFS_Lista,10,22,Densa,1.86403,X
Warshall_Matriz,10,22,Densa,1.53733,X
TopSort_Lista,10,22,Densa,1.5683,X
DFS_Lista,100,200,Esparsa,35.0353,X
Warshall_Matriz,100,200,Esparsa,736.081,X
TopSort_Lista,100,200,Esparsa,19.9302,X
DFS_Lista,100,2475,Densa,4321.56,X
Warshall_Matriz,100,2475,Densa,911.474,X
TopSort_Lista,100,2475,Densa,75.9859,X
DFS_Lista,500,1000,Esparsa,364.082,X
Warshall_Matriz,500,1000,Esparsa,74123.5,X
TopSort_Lista,500,1000,Esparsa,115.378,X
DFS_Lista,500,62375,Densa,2.53686e+06,X
Warshall_Matriz,500,62375,Densa,119561,X
TopSort_Lista,500,62375,Densa,4174.43,X
DFS_Lista,750,1500,Esparsa,640.24,X
Warshall_Matriz,750,1500,Esparsa,237894,X
TopSort_Lista,750,1500,Esparsa,171.213,X
DFS_Lista,750,140437,Densa,1.29548e+07,X
Warshall_Matriz,750,140437,Densa,404439,X
TopSort_Lista,750,140437,Densa,13234.8,X
DFS_Lista,1000,2000,Esparsa,1122.19,X
Warshall_Matriz,1000,2000,Esparsa,517240,X
TopSort_Lista,1000,2000,Esparsa,235.633,X
DFS_Lista,1000,249750,Densa,4.12262e+07,X
Warshall_Matriz,1000,249750,Densa,901360,X
TopSort_Lista,1000,249750,Densa,64943.5,X
